,Missing %
Facility ID,2.7858112494835625
Facility,0.0
Facility General Location,0.0
System,0.0
Type,0.0
System full path,0.0
Asset type,2.7858112494835625
Category,0.0
Asset ID/Barcode,0.0
Criticality description,0.0
Condition,0.0
Quantity,0.011804284955438824
Replacement Cost,0.0
Life Cycle,0.0
Revised Life,0.0
Expected remaining life,0.0
CIBSE Life Expectancy,0.0
Revised Exp Year,0.0
Match,0.0
10 Year Total,0.0
Our Category 1,0.0
Our Category 2,0.0
25+ Years,0.0
15+ Years,0.0
